M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
6.5,0.812913357,0,1.174931594,7.00E-02,1.916611845,2.83E-01,1.362859303,2.729027025,4
6.5,0.812913357,0,0.983626287,-7.17E-03,1.959375337,2.92E-01,1.281033367,2.681168849,5
6.5,0.812913357,0,0.565847819,-2.47E-01,1.416307587,1.51E-01,0.472756449,2.246227678,5
6.5,0.812913357,0,0.640481437,-1.93E-01,1.606058749,2.06E-01,0.562292864,2.23230984,5
6.5,0.812913357,1,0.631443769,-2.00E-01,1.696268997,2.29E-01,0.298853076,2.008429827,5
6.5,0.812913357,1,0.738780558,-1.31E-01,1.744292983,2.42E-01,0.431363764,2.080265627,5
6.5,0.812913357,0,0.220108088,-6.57E-01,1.006466042,2.80E-03,-0.638272164,1.46686762,4
6.5,0.812913357,0,0.26245109,-5.81E-01,1.072984745,3.06E-02,-0.657577319,1.451325808,4
6.1,0.785329835,0,0.936010796,-2.87E-02,1.97160052,2.95E-01,1.11058971,2.44276189,6
6.1,0.785329835,0,1.066325925,2.79E-02,1.994493123,3.00E-01,1.33243846,2.551120492,6
6.1,0.785329835,0,0.57634135,-2.39E-01,1.601190533,2.04E-01,0.271841607,2.054536453,4
6.1,0.785329835,0,0.544068044,-2.64E-01,1.688686724,2.28E-01,0.348304863,2.054191577,4
4.9,0.69019608,0,0.068185862,-1.17E+00,1.585122186,2.00E-01,-0.075720714,1.705264862,5
4.9,0.69019608,0,0.235528447,-6.28E-01,1.739809599,2.41E-01,0.133538908,1.806722503,5
4.9,0.69019608,1,0.357934847,-4.46E-01,1.180412633,7.20E-02,-0.552841969,1.597804842,5
4.9,0.69019608,1,0.260071388,-5.85E-01,1.67182056,2.23E-01,-0.167491087,1.688241796,5
5,0.698970004,0,0.752048448,-1.24E-01,2.128205344,3.28E-01,0.991669007,2.25166255,6
5,0.698970004,0,0.959041392,-1.82E-02,2.295721,3.61E-01,1.148910993,2.275909969,6
5.1,0.707570176,0,0.51054501,-2.92E-01,1.911902996,2.81E-01,0.457881897,1.898286279,5
5.1,0.707570176,0,0.687528961,-1.63E-01,2.104760167,3.23E-01,0.808210973,2.028733879,5
5.1,0.707570176,0,0.269512944,-5.69E-01,1.728028954,2.38E-01,0.113943352,1.786183346,4
5.1,0.707570176,0,0.322219295,-4.92E-01,2.021396057,3.06E-01,0.5132176,1.987487506,4
4.5,0.653212514,0,0.103803721,-9.84E-01,1.501333179,1.76E-01,-0.187086643,1.760120785,4
4.5,0.653212514,0,0.372912003,-4.28E-01,1.776047071,2.49E-01,-0.031517051,1.774078801,4
5.5,0.740362689,0,0.36361198,-4.39E-01,1.40688067,1.48E-01,-0.387216143,1.628797486,6
5.5,0.740362689,0,0.029383778,-1.53E+00,1.542576476,1.88E-01,-0.318758763,1.624282096,6
4,0.602059991,0,0.648360011,-1.88E-01,2.028408565,3.07E-01,0.408239965,1.769229582,5
4,0.602059991,0,1.020775488,8.93E-03,2.479848727,3.94E-01,1.192567453,1.934144812,5
5.4,0.73239376,0,0.181843588,-7.40E-01,1.312177356,1.18E-01,-0.346787486,1.632760888,5
5.4,0.73239376,0,0.139879086,-8.54E-01,1.5774918,1.98E-01,-0.27572413,1.63748973,5
5.3,0.72427587,0,0.591064607,-2.28E-01,1.820267157,2.60E-01,0.206825876,1.8409212,6
5.3,0.72427587,0,0.336459734,-4.73E-01,2.047547433,3.11E-01,0.46686762,1.892706638,6
5.2,0.716003344,0,0.631443769,-2.00E-01,1.541454429,1.88E-01,0.285557309,1.92417587,6
5.2,0.716003344,0,0.911157609,-4.04E-02,1.921009801,2.84E-01,0.480006943,1.936564005,6
5.2,0.716003344,0,0.206825876,-6.84E-01,1.557867962,1.93E-01,0.195899652,2.01123201,5
5.2,0.716003344,0,0.307496038,-5.12E-01,1.718501689,2.35E-01,0.318063335,2.03530964,5
5.1,0.707570176,0,0.514547753,-2.89E-01,1.781898919,2.51E-01,-0.050609993,1.724029973,5
5.1,0.707570176,0,0.421603927,-3.75E-01,1.823604628,2.61E-01,-0.045757491,1.721563318,5
